CAR__ID,date,Customer   Name,GENDER,Annual Income ($),DEALER_NAME,COMPANY,Model,Engine Type,Transmission,Color,Price,Dealer_No,Body_Style,Phone_Number,Region
C_CND_000001,01-02-2022,Geraldine,Male,13500,Buddy Storbeck's Diesel Service Inc,Ford,Expedition,DoubleÂ Overhead Camshaft,Auto,Black,26000,06457-3834,SUV,8264678,Middletown
C_CND_000002,01-02-2022,Gia,,1480000,C & M Motors Inc,Dodge,Durango,DoubleÂ Overhead Camshaft,Auto,Black,19000,60504-7114,SUV,6848189,Aurora
C_CND_000003,01-02-2022,Gianna,male,1035000,Capitol KIA,,Eldorado,Overhead Camshaft,M,Red,31500,38701-8047,Passenger,7298798,Greenville
C_CND_000004,01-02-2022,Giselle,male,13500,Chrysler of Tri-Cities,TOYOTA,Celica,Overhead Camshaft,Manual ,Pale White,14000,99301-3882,SUV,6257557,Pasco
C_CND_000005,01-02-2022,Grace,Male,1465000,Chrysler Plymouth,acura,TL,DoubleÂ Overhead Camshaft,Automatic,Red,24500,53546-9427,Hatchback,7081483,Janesville
C_CND_000006,01-02-2022,Guadalupe,Male,850000,Classic Chevy,Mitsubishi, Diamante,Overhead Camshaft,M,Pale White,12000,85257-3102,Hatchback,7315216,Scottsdale
C_CND_000007,01-02-2022,Hailey,Male,1600000,Clay Johnson Auto Sales,toyota,Corolla,Overhead Camshaft,Manual ,Pale White,14000,78758-7841,Passenger,7727879,Austin
C_CND_000008,01-02-2022,Graham,M,13500,U-Haul CO,mitsubishi, Galant,DoubleÂ Overhead Camshaft,A,Pale White,42000,78758-7841,Passenger,6206512,Austin
C_CND_000009,01-02-2022,,MALE,815000,Rabun Used Car Sales,Chevrolet,Malibu,Overhead Camshaft,Manual,Pale White,82000,85257-3102,Hardtop,7194857,Pasco  
C_CND_000010,01-02-2022,Grayson,F,13500,Rabun Used Car Sales,Ford, Escort,DoubleÂ Overhead Camshaft,auto,Pale White,15000,85257-3102,Passenger,7836892,Scottsdale  
C_CND_000011,01-02-2022,Gregory,male,13500,Race Car Help,ACURA,RL,Overhead Camshaft,M,Pale White,31000,78758-7841,SUV,7995489,Austin  
C_CND_000012,01-02-2022,Amar'E,Male,13500,Race Car Help,  Nissan ,Pathfinder,DoubleÂ Overhead Camshaft,auto,Pale White,46000,78758-7841,Hardtop,7288103,Pasco
C_CND_000013,01-02-2022,Griffin,M,,Saab-Belle Dodge,mercury,Grand Marquis,DoubleÂ Overhead Camshaft,Auto,Black,,60504-7114,SUV,6842408,Aurora
C_CND_000014,01-02-2022,Harrison,male,13500,Scrivener Performance Engineering,BMW,,DoubleÂ Overhead Camshaft,Automatic,Pale White,"$15,000",38701-8047,Hatchback,7558767,Greenville
C_CND_000015,01-02-2022,Zainab,Male,722000,Buddy Storbeck's Diesel Service Inc,  Chrysler , Sebring Coupe,Overhead Camshaft,Manual,Pale White,26000,06457-3834,Sedan,7677191,Middletown  
C_CND_000016,01-02-2022,Zara,Male,746000,C & M Motors Inc,Subaru,Forester,Overhead Camshaft,Manual,Pale White,17000,60504-7114,Hatchback,8431908,Aurora
C_CND_000017,01-02-2022,Zoe,female,535000,Capitol KIA,HYUNDAI,Accent,Overhead Camshaft,Manual,Black,18000,38701-8047,Hatchback,7814646,Greenville
